instrument,year,a_E,a_E_source,a_weak_E_proxy,a_E_pb,a_E_de,a_E_wacc,a_F,a_sigma_E,a_sigma_D_hat,a_sigma_V_hat,a_mu_hat,DD_a,PD_a,a_naive_status,m_covid,m_rit_rf,m_rit,m_new_wacc,"m_weighted_average_cost_of_capital,_(%)",m_beta_levered,m_beta_unlevered,m_environmental_pillar_score,m_social_pillar_score,m_governance_pillar_score,m_esg_score,m_esg_combined_score,m_environmental_pillar_score_1,m_social_pillar_score_1,m_governance_pillar_score_1,m_esg_score_1,m_esg_combined_score_1,m_lnta,m_td/ta,m_price_to_book_value_per_share,m_capital_adequacy_total_(%),"m_wacc_tax_rate,_(%)","m_wacc_cost_of_debt,_(%)","m_wacc_debt_weight,_(%)","m_wacc_equity_weight,_(%)",m_total_assets,m_debt_total,m_d/e,m_dummylarge,m_dummymid,m_rf,m_F,m_ticker_prefix,m_date,m_Month,m_symbol,m_market_cap,m_equity_volatility,m_equity_vol,m_E_t,m_F_t,m_rf_t,m_T,m_sigma_E_tminus1,m_sigmaE_count,m_sigmaE_window_end_year,m_sigmaE_window_start_year,m_asset_value,m_asset_vol,m_solver_cost,m_nfev,m_status_flag,m_d1,m_d2,DD_m,PD_m,m_solver_status
ABCB,2016,14749059164.192553,E_pb,False,14749059164.192553,4697069318.715835,6076890927.843194,630054000.0,0.191261164647664,0.097815291161916,0.1874328589615942,0.044898351,17.191718038746547,1.5315954563773825e-66,insufficient_returns,0.0,0.36482797,0.36682797,1.954161782,8.819529648,1.360975371,1.246731645,21.15270351,39.29607554,55.73947668,39.55706507,39.55706507,18.2821119,40.15431986,66.39093137,43.81727795,43.81727795,8.838121096,0.091417755,2.355335889,10.106,31.68618,2.387100586,11.82728389,88.17271611,6892.031,630.054,0.134137684,0.0,0.0,0.002,630054000.0,ABCB,,,ABCB,3004515065.6,0.3045147774355881,,3004515065.6,630054000.0,0.002,1.0,,0.0,2015.0,2015.0,,,,,no_sigma_E,,,,,no_sigma_E
ABCB,2017,16719599892.468857,E_pb,False,16719599892.468857,3745861983.418916,7155625066.741166,366742000.0,0.191261164647664,0.097815291161916,0.1892554382757122,0.36682797,22.14095033550169,6.375976651614082e-109,insufficient_returns,0.0,0.236120629,0.244120629,1.822848914,7.884872134,1.1911948,1.116321358,22.15799615,41.65562543,68.93388241,45.47738788,45.47738788,21.15270351,39.29607554,55.73947668,39.55706507,39.55706507,8.96905869,0.046681839,2.232416978,13.139,31.49383,2.336282666,8.91751312,91.08248688,7856.203,366.742,0.097905903,0.0,0.0,0.008,366742000.0,ABCB,,,ABCB,3321505187.2000003,0.2185429910415509,,3321505187.2000003,366742000.0,0.008,1.0,,1.0,2016.0,2016.0,,,,,no_sigma_E,,,,,no_sigma_E
ABCB,2018,11550541866.87213,E_pb,False,11550541866.87213,3178538293.441459,10574094390.73903,261345000.00000003,0.08676719292247,0.0716917982306175,0.086433640876963,0.244120629,46.87301717500705,0.0,ok,0.0,-0.368210621,-0.350110621,2.026303985,10.82817279,1.392523336,1.317869321,21.58687943,37.66456892,55.87830335,38.79781539,38.79781539,22.15799615,41.65562543,68.93388241,45.47738788,45.47738788,9.345178473,0.022837826,1.032942789,12.229,31.10399,3.410669159,7.59749613,92.40250387,11443.515,261.345,0.082221756,0.0,0.0,0.0181,261345000.00000003,ABCB,,,ABCB,2182408076.32,0.3233038168146218,0.08676719292247,2182408076.32,261345000.00000003,0.0181,1.0,0.08676719292247,2.0,2017.0,2016.0,2439065284.3179073,0.0776368816272764,0.0,4.0,converged,29.040869321250504,28.963232439623223,28.963232439623223,9.560798671737068e-185,converged
ABCB,2019,19988802296.055454,E_pb,False,19988802296.055454,11796836413.748123,16127765801.503132,1546904000.0,0.383442480101192,0.1458606200252979,0.3663770388926927,-0.350110621,6.049042046593509,7.285481546491321e-10,ok,0.0,0.012035141,0.033435141,1.604610381,9.426956555,1.47480426,1.350583811,20.28455285,37.26774721,52.9672079,37.55299746,37.55299746,21.58687943,37.66456892,55.87830335,38.79781539,38.79781539,9.811513646,0.084796344,1.197244334,12.94,29.85871,2.245540802,11.59273148,88.40726852,18242.579,1546.904,0.131128715,0.0,0.0,0.0214,1546904000.0,ABCB,,,ABCB,2931469515.84,0.3181401826369912,0.383442480101192,2931469515.84,1546904000.0,0.0214,1.0,0.383442480101192,3.0,2018.0,2016.0,4445620040.757712,0.2528458155338991,0.0,5.0,converged,4.386188230058719,4.1333424145248205,4.1333424145248205,1.787627305057549e-05,converged
ABCB,2020,19880171636.48633,E_pb,False,19880171636.48633,1744392806.2940605,15464103369.85454,561141000.0,0.3012768673713382,0.1253192168428345,0.2964465977242228,0.033435141,12.09268693346367,5.77241107782369e-34,ok,1.0,-0.210822953,-0.206422953,1.690197883,7.940022067,1.467601924,1.191658665,54.42843622,49.6656972,74.30557249,56.3975123,56.3975123,20.28455285,37.26774721,52.9672079,37.55299746,37.55299746,9.925182408,0.027454912,1.000134556,15.27,28.0153,2.564961458,24.33887537,75.66112463,20438.638,561.141,0.321682707,0.0,0.0,0.0044,561141000.0,ABCB,,,ABCB,2623437810.72,0.5521408681769385,0.3012768673713382,2623437810.72,561141000.0,0.0044,1.0,0.3012768673713382,3.0,2019.0,2017.0,3182115214.574317,0.2483823199494482,0.0,8.0,converged,7.128430455190204,6.880048135240755,6.880048135240755,2.991616995886993e-12,converged
ABCB,2021,26796601028.930862,E_pb,False,26796601028.930862,6227115243.298344,20927597467.45647,872052000.0,0.1937719461724494,0.0984429865431123,0.1907673976743437,-0.206422953,16.945176812192383,1.0445255472296224e-64,ok,1.0,0.218588798,0.218988798,1.839579046,1.594365379,1.290137658,1.165590842,53.38414502,59.17687046,66.63859379,58.53741293,58.53741293,54.42843622,49.6656972,74.30557249,56.3975123,56.3975123,10.07988832,0.036551273,1.165765572,13.78,23.69886,2.159195174,12.28386328,87.71613672,23858.321,872.052,0.140041089,0.0,0.0,0.0004,872052000.0,ABCB,,,ABCB,3458186447.04,0.2871380397572859,0.1937719461724494,3458186447.04,872052000.0,0.0004,1.0,0.1937719461724494,3.0,2020.0,2018.0,4329889695.994857,0.1547613369204253,0.0,5.0,converged,10.43428455054284,10.279523213622417,10.279523213622417,4.35788439530392e-25,converged
ABCB,2022,23572993609.29107,E_pb,False,23572993609.29107,12310819539.604649,21545869467.53647,2004058000.0,0.2132827633183518,0.1033206908295879,0.2046668221835403,0.218988798,13.409921147430644,2.64475176425864e-41,ok,1.0,0.001457267,0.015657267,3.471070286,8.601081296,1.170387689,1.041076266,54.52979497,48.36522527,63.11737065,52.17831348,52.17831348,53.38414502,59.17687046,66.63859379,58.53741293,58.53741293,10.12876028,0.079991822,1.022723781,12.9,23.69886,4.531524705,13.99982634,86.00017366,25053.286,2004.058,0.16278835,0.0,0.0,0.0141999999999999,2004058000.0,ABCB,,,ABCB,3270057017.0,0.3583866762332213,0.2132827633183518,3270057017.0,2004058000.0,0.0141999999999999,1.0,0.2132827633183518,3.0,2021.0,2019.0,5245858489.55417,0.1329518893009074,0.0,6.0,converged,7.4109731637032,7.278021274402292,7.278021274402292,1.6937596175019313e-13,converged
ABCB,2023,26259325112.403908,E_pb,False,26259325112.403908,4035616571.970253,21754268661.334538,639901000.0,0.2127747218315412,0.1031936804578853,0.2101679175441974,0.015657267,17.757759381447098,7.505416293875597e-71,ok,1.0,-0.08002404,-0.03052404,3.825582127,7.47521268,1.13540901,1.01260711,17.41491575,36.17008205,59.58580095,39.87768543,39.87768543,54.52979497,48.36522527,63.11737065,52.17831348,52.17831348,10.13474605,0.02538917,1.069025446,14.45,23.51765,5.036362748,13.68620669,86.31379331,25203.699,639.901,0.158563379,0.0,0.0,0.0495,639901000.0,ABCB,,,ABCB,3663279740.05,0.5295449123231164,0.2127747218315412,3663279740.05,639901000.0,0.0495,1.0,0.2127747218315412,3.0,2022.0,2020.0,4272276822.488106,0.1824444825409645,0.0,6.0,converged,10.768929091004503,10.58648460846354,10.58648460846354,1.7213960878606529e-26,converged
ACNB,2019,2287812339.595548,E_pb,False,2287812339.595548,582629909.0722051,1468828058.108295,99731000.0,0.191261164647664,0.097815291161916,0.1873578007781788,0.044898351,17.095047702334668,8.078189462248028e-66,insufficient_returns,0.0,0.010970998,0.032370998,1.278689517,2.538262745,0.13409182,0.118916829,20.28455285,29.06964104,49.07460469,32.08539965,32.08539965,21.58687943,7.901509952,51.83544304,22.57990843,22.57990843,7.450226652,0.057974612,1.411774934,15.64,25.44999,1.67813489,14.61557933,85.38442067,1720.253,99.731,0.171173842,0.0,0.0,0.0214,99731000.0,ACNB,,,ACNB,395838053.2662,0.2331131684507512,,395838053.2662,99731000.0,0.0214,1.0,,0.0,2018.0,2018.0,,,,,no_sigma_E,,,,,no_sigma_E
ACNB,2020,2077507509.5904365,E_pb,False,2077507509.5904365,316619464.86877507,1979014228.218817,92209000.0,0.191261164647664,0.097815291161916,0.1872898852154612,0.032370998,16.942326070490218,1.0964000319056025e-64,insufficient_returns,1.0,-0.254633842,-0.250233842,0.637246828,1.529470514,0.121505256,0.09983081,18.99807322,27.05251393,60.67753951,35.26196114,35.26196114,20.28455285,29.06964104,49.07460469,32.08539965,32.08539965,7.845949176,0.036084516,0.843434212,14.91,25.44999,1.114744063,22.55444715,77.44555285,2555.362,92.209,0.291229726,0.0,0.0,0.0044,92209000.0,ACNB,,,ACNB,261659210.25000003,0.351050694441641,,261659210.25000003,92209000.0,0.0044,1.0,,1.0,2019.0,2019.0,,,,,no_sigma_E,,,,,no_sigma_E
